date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:12:27	168841/168841	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:26%20GMT	https://vsdc.creatorlink.net/	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/index.html	(from )
01:12:27	144022/144022	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:26%20GMT	https://vsdc.creatorlink.net/INFORMATION	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/INFORMATION.html	(from )
01:12:27	117513/117513	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:27%20GMT	https://vsdc.creatorlink.net/History	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/History.html	(from )
01:12:28	206005/206005	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:28%20GMT	https://vsdc.creatorlink.net/Mandate	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/Mandate.html	(from )
01:12:29	171515/171515	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:29%20GMT	https://vsdc.creatorlink.net/STUDENT	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/STUDENT.html	(from )
01:12:29	165850/165850	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:29%20GMT	https://vsdc.creatorlink.net/In-the-center	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/In-the-center.html	(from )
01:12:30	164729/164729	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:30%20GMT	https://vsdc.creatorlink.net/In-the-outskirts	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/In-the-outskirts.html	(from )
01:12:31	241430/241430	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:31%20GMT	https://vsdc.creatorlink.net/NEWS%e3%86%8dMEDIA	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/NEWS%e3%86%8dMEDIA.html	(from )
01:12:32	174785/174785	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:12:31%20GMT	https://vsdc.creatorlink.net/SUPPORT	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/SUPPORT.html	(from )
01:12:32	163/163	---MCZ	200	added ('OK')	text/plain	date:Sun,%2028%20Sep%202025%2016:12:32%20GMT	https://vsdc.creatorlink.net/robots.txt		(from )
01:12:33	17332/17332	---MCZ	200	added ('OK')	text/css	etag:%2243b4-638355962fb02;63f989432226d-gzip%22	https://vsdc.creatorlink.net/css/coloris.1750651644.css	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/css/coloris.1750651644.css	(from https://vsdc.creatorlink.net/)
01:12:33	128636/128636	---MCZ	200	added ('OK')	text/css	etag:%221f67c-63367d160cda0;63f9893f2b8bf-gzip%22	https://vsdc.creatorlink.net/css/bootstrap.1745370837.css	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/css/bootstrap.1745370837.css	(from https://vsdc.creatorlink.net/)
01:12:34	26644/26644	---MCZ	200	added ('OK')	text/css	etag:%226814-5c35e54e8f112-gzip%22	https://vsdc.creatorlink.net/css/font-awesome.min.css	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/css/font-awesome.min.css	(from https://vsdc.creatorlink.net/)
01:12:34	7098/7098	---MCZ	200	added ('OK')	text/css	etag:%221bba-6336825c0c100-gzip%22	https://vsdc.creatorlink.net/css/cl_icons.css?_20211022	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/css/cl_icons6b08.css	(from https://vsdc.creatorlink.net/)
01:12:35	16979/16979	---MCZ	200	added ('OK')	text/css	etag:%224253-63835596432e0;63f9893f2b8bf-gzip%22	https://vsdc.creatorlink.net/css/blueimp-gallery.1750651644.css	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/css/blueimp-gallery.1750651644.css	(from https://vsdc.creatorlink.net/)
01:12:36	12676/12676	---MCZ	200	added ('OK')	text/css	etag:%223184-6038d5d917c73;63f9893f2b8bf-gzip%22	https://vsdc.creatorlink.net/css/keyframe.1692755555.css	C:/My%20Web%20Sites/ddd/vsdc.creatorlink.net/css/keyframe.1692755555.css	(from https://vsdc.creatorlink.net/)
